,Country,Commodity,Commodity (Type),Year,Exports (Extra-EU) (THOUSAND TONS),Exports (Intra-EU) (THOUSAND TONS),Imports (Extra-EU) (THOUSAND TONS),Imports (Intra-EU) (THOUSAND TONS),Total Exports (THOUSAND TONS),Total Imports (THOUSAND TONS),Area (SQ.KM.),Total Population (THOUSAND PEOPLE)
147,Austria,BUTTERMILK,DAIRY,2002,0.0153,22.0485,0.0074,13.3381759999999,22.0638,13.3455759999999,83871,8059.591
148,Austria,BUTTERMILK,DAIRY,2003,0.0167,25.5186,0.00709999999999999,18.0661159999999,25.5353,18.073215999999903,83871,8098.393
149,Austria,BUTTERMILK,DAIRY,2004,0.0018,27.4965,0.012,19.338656,27.4983,19.350656,83871,8141.815
150,Austria,BUTTERMILK,DAIRY,2005,0.005,12.0153999999999,0.0217,26.3144,12.020399999999901,26.3361,83871,8200.618
151,Austria,BUTTERMILK,DAIRY,2006,0.0493,9.927,0.0198999999999999,28.6682,9.9763,28.6881,83871,8253.451
152,Austria,BUTTERMILK,DAIRY,2007,0.0469,16.3336,0.0158,24.527,16.3805,24.5428,83871,8282.076
153,Austria,BUTTERMILK,DAIRY,2008,0.1412,14.7043,0.0141,23.0256999999999,14.8455,23.0397999999999,83871,8307.368
154,Austria,BUTTERMILK,DAIRY,2009,0.1425,15.1996999999999,0.0101,22.5764,15.3421999999999,22.5865,83871,8334.895
155,Austria,BUTTERMILK,DAIRY,2010,0.0507079999999999,16.953179,0.007833,22.340499,17.003887,22.348332000000003,83871,8350.976
156,Austria,BUTTERMILK,DAIRY,2011,0.066109,16.517509,0.000328,17.53723,16.583618,17.537558,83871,8374.682
157,Austria,BUTTERMILK,DAIRY,2012,0.036457,14.585578,0.000374,14.664303,14.622035,14.664677000000001,83871,8407.717
158,Austria,BUTTERMILK,DAIRY,2013,0.063312,10.215771,0.0,14.497347,10.279083,14.497347,83871,8451.556
159,Austria,BUTTERMILK,DAIRY,2014,0.071495,8.793154,0.000674,15.467085,8.864649,15.467759000000001,83871,8507.522
160,Austria,BUTTERMILK,DAIRY,2015,0.074395,10.6435039999999,0.00183699999999999,16.265226,10.717898999999901,16.267062999999997,83871,8584.609
