Year,Production (THOUSAND TONS)
2002,135200.223147909
2003,135355.63295893103
2004,134177.8
2005,134849.17082178482
2006,134312.28
2007,133476.45
2008,135336.32
2009,134460.27
2010,135826.34
2011,137660.45
2012,138231.83000000002
2013,139699.6
2014,144310.79
2015,147095.09
2016,148165.99
2017,149496.98
2018,150865.51
2019,152160.04
2020,154039.92
2021,153564.79
2022,150304.79837295265
